source_file,page,chunk_index,text
Kochi-Metro-Rail-Ltd_122025123422432.pdf,1,0,"Bid Details Bid End Date Time 20-02-2025 15:00:00 Bid Opening Date Time 20-02-2025 15:30:00 Bid Offer Validity (From End Date) ( ) 90 (Days) Ministry State Name ! Ministry Of Housing & Urban Affairs (mohua) Department Name Na Organisation Name Kochi Metro Rail Limited Office Name % Kochi Metro Rail Limited & Buyer Email mmt.kmrl@kerala.gov.in Item Category Financial Audit Services - As per ATC; Audit Firm Contract Period 3 Year(s) MSE Exemption for Years of Experience and Turnover , No Startup Exemption for Years of Experience and Turnover , 0 % No Document required from seller & 0 Certificate (Requested in ATC),Additional Doc 1 (Requested in ATC),Additional Doc 2 (Requested in ATC),Additional Doc 3 (Requested in ATC),Additional Doc 4 (Requested in ATC) In case any bidder is seeking exemption from Experience Turnover Criteria, the supporting documents to prove his eligibility for exemption must be uploaded for evaluation by the buyer Do you want to show documents uploaded by bidders to"
Kochi-Metro-Rail-Ltd_122025123422432.pdf,1,1,"ion from Experience Turnover Criteria, the supporting documents to prove his eligibility for exemption must be uploaded for evaluation by the buyer Do you want to show documents uploaded by bidders to all bidders participated in bid? Yes Bid to RA enabled 2 % 4& 4 No Type of Bid 5 Two Packet Bid Time allowed for Technical Clarifications during technical evaluation 6 0 8 7 Days Evaluation Method 6 9 Total value wise evaluation Bid Number & ( : ): GEM 2025 B 5848801 Dated 4 : 30-01-2025 Bid Document 0 1 5 ys fe GeM"
Kochi-Metro-Rail-Ltd_122025123422432.pdf,2,0,"Financial Document Indicating Price Breakup Required 6 % B 0 D F Yes Arbitration Clause No Mediation Clause No Bid Details EMD Detail Required F No ePBG Detail Required F No MII Compliance MII Compliance Yes MSE Purchase Preference MSE Purchase Preference Yes 1. Purchase preference to Micro and Small Enterprises (MSEs): Purchase preference will be given to MSEs as defined in Public Procurement Policy for Micro and Small Enterprises (MSEs) Order, 2012 dated 23.03.2012 issued by Ministry of Micro, Small and Medium Enterprises and its subsequent Orders Notifications issued by concerned Ministry. If the bidder wants to avail the Purchase preference for services, the bidder must be the Service provider of the offered Service. Relevant documentary evidence in this regard shall be uploaded along with the bid in respect of the offered service. If L-1 is not an MSE and MSE Service Provider (s) has have quoted price within L-1 15% of margin of purchase preference price band as defined in the rel"
Kochi-Metro-Rail-Ltd_122025123422432.pdf,2,1,"with the bid in respect of the offered service. If L-1 is not an MSE and MSE Service Provider (s) has have quoted price within L-1 15% of margin of purchase preference price band as defined in the relevant policy, then 100% order quantity will be awarded to such MSE bidder subject to acceptance of L1 bid price. The buyers are advised to refer to the OM No.1 4 2021 PPD dated 18.05.2023 for compliance of Concurrent application of Public Procurement Policy for Micro and Small Enterprises Order, 2012 and Public Procurement (Preference to Make in India) Order, 2017. Benefits of MSE will be allowed only if the credentials of the service provider are validated on- line in GeM profile as well as validated and approved by the Buyer after evaluation of submitted documents. 2. Estimated Bid Value indicated above is being declared solely for the purpose of guidance on EMD amount and for determining the Eligibility Criteria related to Turn Over, Past Performance and Project Past Experience etc. Thi"
Kochi-Metro-Rail-Ltd_122025123422432.pdf,2,2,"icated above is being declared solely for the purpose of guidance on EMD amount and for determining the Eligibility Criteria related to Turn Over, Past Performance and Project Past Experience etc. This has no relevance or bearing on the price to be quoted by the bidders and is also not going to have any impact on bid participation. Also this is not going to be used as a criteria in determining reasonableness of quoted prices which would be determined by the buyer based on its own assessment of reasonableness and based on competitive prices received in Bid RA process. Excel Upload Required G H 4 F : PRICE BREAK UP TO BE UPLOADED ALONG WITH FINANCIAL COVER ONLY - 1738241769.xlsx 2 5"
Kochi-Metro-Rail-Ltd_122025123422432.pdf,3,0,"Additional Qualification Data Required 2 I J F This Bid is based on Least Cost Method Based Evaluation (LCS). The technical qualification parameters are:- Parameter Name Max Marks Min Marks Evaluation Document Seller Document Required LCS CRITERIA for Technical Evaluation mentioned in Section 4 of ATC 100 75 View file Yes Total Minimum Passing Technical Marks: 75 Pre Bid Detail(s) Pre-Bid Date and Time Pre-Bid Venue 06-02-2025 11:00:00 Kochi Metro Rail Ltd. Corporate office 4th floor, JLN Stadium metro station, Kaloor, Kochi- 682017 Video call link: https: meet.google.com qao-itfn-iyb Financial Audit Services - As Per ATC; Audit Firm ( 1 ) Technical Specifications 8 Specification Values Core Scope of Work As per ATC Type of Financial Audit Partner Audit Firm Type of Financial Audit Internal Audit Category of Work under Financial Audit As per ATC Type of Industries Functions As per ATC Frequency of Progress Report QUARTERLY MIS Reporting for Financial Audit support Yes Frequency of MIS "
Kochi-Metro-Rail-Ltd_122025123422432.pdf,3,1,l Audit Category of Work under Financial Audit As per ATC Type of Industries Functions As per ATC Frequency of Progress Report QUARTERLY MIS Reporting for Financial Audit support Yes Frequency of MIS reporting as and when required State NA District NA Addon(s) Post Financial Audit Support NA Additional Specification Documents 2 I 8 0 3 5
Kochi-Metro-Rail-Ltd_122025123422432.pdf,4,0,"Consignees Reporting Officer 2 4 M S.No. &. . Consignee Reporting Officer 2 4 M Address To be set as 1 Additional Requirement 2 I F 1 Nithin N P 683106,DCO Stores, Muttom depot KMRL, Aluva 1 N A Buyer Added Bid Specific Terms and Conditions & O Q 1. Generic OPTION CLAUSE: The buyer can increase or decrease the contract quantity or contract duration up to 25 percent at the time of issue of the contract. However, once the contract is issued, contract quantity or contract duration can only be increased up to 25 percent. Bidders are bound to accept the revised quantity or duration 2. Buyer Added Bid Specific SLA File Attachment Click here to view the file. Disclaimer 0 The additional terms and conditions have been incorporated by the Buyer after approval of the Competent Authority in Buyer Organization, whereby Buyer organization is solely responsible for the impact of these clauses on the bidding process, its outcome, and consequences thereof including any eccentricity restriction arising"
Kochi-Metro-Rail-Ltd_122025123422432.pdf,4,1,"anization, whereby Buyer organization is solely responsible for the impact of these clauses on the bidding process, its outcome, and consequences thereof including any eccentricity restriction arising in the bidding process due to these ATCs and due to modification of technical specifications and or terms and conditions governing the bid. If any clause(s) is are incorporated by the Buyer regarding following, the bid and resultant contracts shall be treated as null and void and such bids may be cancelled by GeM at any stage of bidding process without any notice:- 1. Definition of Class I and Class II suppliers in the bid not in line with the extant Order Office Memorandum issued by DPIIT in this regard. 2. Seeking EMD submission from bidder(s), including via Additional Terms & Conditions, in contravention to exemption provided to such sellers under GeM GTC. 3. Publishing Custom BOQ bids for items for which regular GeM categories are available without any Category item bunched with it. 4"
Kochi-Metro-Rail-Ltd_122025123422432.pdf,4,2,"n contravention to exemption provided to such sellers under GeM GTC. 3. Publishing Custom BOQ bids for items for which regular GeM categories are available without any Category item bunched with it. 4. Creating BoQ bid for single item. 5. Mentioning specific Brand or Make or Model or Manufacturer or Dealer name. 6. Mandating submission of documents in physical form as a pre-requisite to qualify bidders. 7. Floating creation of work contracts as Custom Bids in Services. 8. Seeking sample with bid or approval of samples during bid evaluation process. (However, in bids for attached categories, trials are allowed as per approved procurement policy of the buyer nodal Ministries) 9. Mandating foreign international certifications even in case of existence of Indian Standards without specifying equivalent Indian Certification standards. 10. Seeking experience from specific organization department institute only or from foreign export experience. 11. Creating bid for items from irrelevant categ"
